frame,x,y,radius
122,317.5,149.5,14.5
122,365.0,138.5,16.0
123,121.5,199.0,15.5
123,63.5,79.0,16.5
123,334.0,317.0,16.0
123,315.0,384.0,15.0
123,317.5,150.5,14.5
123,366.0,138.5,16.0
124,122.5,200.0,15.5
124,63.5,79.0,16.5
124,334.0,317.0,16.0
124,315.0,384.0,15.0
124,317.5,150.5,14.5
124,365.0,138.5,16.0
125,122.5,200.0,15.5
125,63.5,79.0,16.5
125,333.0,318.0,16.0
125,314.0,384.0,15.0
125,317.5,150.5,14.5
125,365.0,138.5,16.0
126,122.5,200.0,15.5
126,62.5,79.0,16.5
126,333.0,318.0,16.0
126,315.0,384.0,15.0
126,317.5,150.5,14.5
126,364.0,138.5,16.0
127,122.5,199.0,15.5
127,62.5,79.0,16.5
127,333.0,318.0,16.0
127,314.0,384.0,15.0
127,317.5,150.5,14.5
127,364.0,138.5,16.0
128,122.5,200.0,15.5
128,62.5,79.0,16.5
128,333.0,318.0,16.0
128,315.0,384.0,15.0
128,317.5,150.5,14.5
128,364.0,138.5,16.0
129,122.5,200.0,15.5
129,62.5,79.0,16.5
129,333.0,318.0,16.0
129,315.0,384.0,15.0
129,317.5,150.5,14.5
129,365.0,138.5,16.0
130,122.5,200.0,15.5
130,62.5,79.0,16.5
130,333.0,318.0,16.0
130,314.0,383.0,15.0
130,317.5,150.5,14.5
130,365.0,138.5,16.0
131,122.5,200.0,15.5
131,62.5,79.0,16.5
131,333.0,318.0,16.0
131,314.0,383.0,15.0
131,317.5,150.5,14.5
131,365.0,138.5,16.0
132,122.5,200.0,15.5
132,62.5,79.0,16.5
132,333.0,318.0,16.0
132,314.0,383.0,15.0
132,317.5,150.5,14.5
132,364.0,138.5,16.0
133,122.5,199.0,15.5
133,62.5,79.0,16.5
133,333.0,318.0,16.0
133,315.0,384.0,15.0
133,317.5,150.5,14.5
133,365.0,138.5,16.0
134,122.5,199.0,15.5
134,62.5,79.0,16.5
134,333.0,318.0,16.0
134,315.0,384.0,15.0
134,317.5,150.5,14.5
134,365.0,138.5,16.0
135,122.5,199.0,15.5
135,62.5,79.0,16.5
135,333.0,318.0,16.0
135,314.0,383.0,15.0
135,317.5,150.5,14.5
135,364.0,139.5,16.0
136,122.5,200.0,15.5
136,62.5,79.0,16.5
136,333.0,318.0,16.0
136,314.0,383.0,15.0
136,317.5,150.5,14.5
136,364.0,138.5,16.0
137,122.5,199.0,15.5
137,62.5,79.0,16.5
137,333.0,318.0,16.0
137,314.0,384.0,15.0
137,317.5,150.5,14.5
137,364.0,139.5,16.0
138,122.5,199.0,15.5
138,62.5,79.0,16.5
138,333.0,318.0,16.0
138,314.0,383.0,15.0
138,317.5,150.5,14.5
138,364.0,138.5,16.0
139,122.5,199.0,15.5
139,62.5,79.0,16.5
139,336.94,320.63,16.0
139,313.0,383.0,15.0
139,317.5,150.5,14.5
139,364.0,139.5,16.0
140,123.5,199.0,15.5
140,62.5,79.0,16.5
140,333.0,318.0,16.0
140,313.0,383.0,15.0
140,317.5,150.5,14.5
140,364.0,138.5,16.0
141,127.44,199.66,15.5
141,62.5,79.0,16.5
141,333.0,318.0,16.0
141,314.0,383.0,15.0
141,316.84,156.41,14.5
141,359.4,142.78,16.0
142,123.5,199.0,15.5
142,62.5,79.0,16.5
142,333.0,318.0,16.0
142,313.0,383.0,15.0
142,317.5,150.5,14.5
142,364.0,138.5,16.0
143,123.5,199.0,15.5
143,62.5,79.0,16.5
143,333.0,318.0,16.0
143,313.0,382.0,15.0
143,317.5,150.5,14.5
143,364.0,138.5,16.0
144,127.44,200.97,15.5
144,62.5,79.0,16.5
144,337.6,320.63,16.0
144,314.97,378.72,15.0
144,316.19,156.41,14.5
144,359.4,142.79,16.0
145,127.44,200.97,15.5
145,62.5,79.0,16.5
145,337.6,320.63,16.0
145,313.66,380.37,15.0
145,316.84,157.07,14.5
145,360.72,144.41,16.0
146,129.41,199.66,15.5
146,62.5,79.0,16.5
146,336.94,320.63,16.0
146,313.0,382.0,15.0
146,318.16,157.07,14.5
146,357.43,144.44,16.0
147,130.41,200.31,15.5
147,62.5,79.0,16.5
147,335.63,321.29,16.0
147,313.0,382.0,15.0
147,317.5,157.38,14.5
147,358.09,143.79,16.0
148,129.41,200.97,15.5
148,63.5,79.0,16.5
148,336.94,319.97,16.0
148,313.0,382.0,15.0
148,317.5,155.1,14.5
148,358.74,143.78,16.0
149,131.07,199.0,15.5
149,62.5,79.0,16.5
149,336.94,319.97,16.0
149,314.31,378.72,15.0
149,318.16,155.76,14.5
149,357.43,144.44,16.0
150,129.1,199.66,15.5
150,63.5,78.0,16.5
150,335.94,320.63,16.0
150,313.0,382.0,15.0
150,317.5,154.44,14.5
150,358.09,143.78,16.0
151,129.76,200.0,15.499999999999993
151,62.5,79.0,16.5
151,337.25,322.6,16.0
151,313.66,377.4,15.0
151,316.84,154.79,14.5
151,357.43,144.79,16.0
152,129.76,198.34,15.499999999999993
152,62.5,79.0,16.5
152,335.94,320.63,16.0
152,314.97,379.37,15.0
152,317.5,151.5,14.5
152,355.46,144.13,16.0
153,130.1,200.31,15.5
153,62.5,79.0,16.5
153,335.94,321.29,16.0
153,314.0,382.0,15.0
153,317.5,151.5,14.5
153,357.43,145.44,16.0
154,130.76,200.0,15.499999999999993
154,65.79,75.72,16.500000000000004
154,336.6,320.63,16.0
154,313.0,382.0,15.0
154,317.5,157.41,14.5
154,356.77,144.79,16.0
155,133.38,199.34,15.5
155,62.5,79.0,16.5
155,337.26,321.28,16.0
155,314.31,377.4,15.0
155,317.5,155.44,14.5
155,356.12,145.76,16.0
156,130.75,198.03,15.5
156,62.5,79.0,16.5
156,337.26,320.31,16.0
156,313.0,382.0,15.0
156,317.5,156.1,14.5
156,356.43,147.73,16.0
157,130.75,197.69,15.5
157,62.5,79.0,16.5
157,336.6,319.97,16.0
157,313.0,382.0,15.0
157,318.16,154.13,14.5
157,357.09,148.73,16.0
158,132.07,199.66,15.5
158,62.5,79.0,16.5
158,335.94,321.29,16.0
158,312.34,378.06,15.0
158,318.16,154.79,14.5
